clause,aspect_pred,aspect_sim,sentiment_pred,rating,aspect_true,sentiment_true,senti_neural_cls,senti_lex_cls
"Через пару дней ребята уже приступили к ремонту, прораб у них был Евгений, общительный и веселый парень, все время был на связи, подробно рассказывал о ходе ремонта",Вежливость,0.441,0.9465423999354243,5.0,Коммуникация,1,1,0
Довольны обращением в компанию,Вежливость,0.602,0.8243638928979635,5.0,нет,1,1,1
При этом парни показались мне довольно вежливыми и компетентными людьми,Вежливость,0.577,0.9400498075410724,5.0,Вежливость,1,1,-1
"В целом всем довольны, рекомендовали друзьям и знакомым",Вежливость,0.628,0.9775074045173824,5.0,нет,1,1,1
"Видно, что люди не просто делают, а хотят, чтобы клиент остался доволен",Вежливость,0.465,0.3940577879548073,5.0,нет,1,1,1
Обращались к вам в начале года,Вежливость,0.496,-0.011223465204238892,5.0,нет,0,0,0
"Спасибо, рекомендуем",Вежливость,0.561,0.9695966201834381,5.0,нет,1,1,1
"Мы специально к ним ездили, чтобы посмотреть что и как",Вежливость,0.481,0.1450783610343933,5.0,нет,0,0,0
Ребята вам респект и уважение,Вежливость,0.634,0.9749180441722274,5.0,нет,1,1,0
За что ему спасибо,Вежливость,0.51,0.9176568211987615,5.0,нет,1,1,1
Общались по телефону и по чату в мессенджере,Вежливость,0.557,0.055562712252140045,5.0,Коммуникация,0,0,0
Будем теперь рекомендовать компанию всем знакомым,Вежливость,0.53,0.9369695140048862,5.0,нет,1,1,1
"Тут, все как и полагается",Гарантия и недочёты,0.553,-0.22603371739387512,5.0,нет,1,-1,0
Гарантию на ремонт предоставили,Гарантия и недочёты,0.555,0.0582340769469738,5.0,Гарантия и недочёты,1,0,0
"Поскольку мы не выезжали на время ремонта - все, связанные с этим неудобства Михаил минимизировал по возможности",Гарантия и недочёты,0.5,0.05686325579881668,5.0,нет,1,0,0
"Нам сразу всё показали, объяснили, выдали смету, рассказали, как можно сэкономить без потери качества",Гарантия и недочёты,0.478,0.9768811450339854,5.0,Коммуникация,1,1,0
на качество это не повлияло,Гарантия и недочёты,0.504,0.18922638893127441,5.0,Качество работ,0,1,0
"К смете у нас претензий не было, скорректировали некоторые материалы в процессе",Гарантия и недочёты,0.574,0.17031681910157204,5.0,Цена и смета,1,1,0
"Теперь все работает как надо и без малейших ""сюрпризов""",Гарантия и недочёты,0.572,0.9404448755085468,5.0,Качество работ,1,1,0
"Достоинства Быстро и качественно Недостатки Не нашла Комментарий Ремонт сделали около четырёх месяцев назад, а отзыв пишем только сейчас, когда всё проверили",Гарантия и недочёты,0.611,0.10953110083937645,5.0,Качество работ,1,0,1
"Отдавали сюда планшет на ремонт, сделали, работает до сих пор",Гарантия и недочёты,0.474,0.29932260513305664,5.0,Качество работ,1,1,0
"Обратились в компанию Ютта, чтобы это исправить",Гарантия и недочёты,0.57,0.05513891577720642,5.0,нет,0,0,0
"Сделали ремонт так, как нам того хотелось",Гарантия и недочёты,0.495,0.029282018542289734,5.0,Качество работ,1,0,0
"Ребята пришли, все сделали хорошо",Гарантия и недочёты,0.546,0.9107689457014203,5.0,Качество работ,1,1,1
"В случае если вы не хотите самостоятельно морочиться с 1000 и 1 нюансом при ремонте, то это удобнее делать через Атлон",Качество работ,0.491,0.1235061064362526,5.0,нет,1,0,0
Результатом довольна на все 100%,Качество работ,0.57,0.966460938565433,5.0,Качество работ,1,1,1
