clause,aspect_pred,aspect_sim,sentiment_pred,rating,aspect_true,sentiment_true
"Через пару дней ребята уже приступили к ремонту, прораб у них был Евгений, общительный и веселый парень, все время был на связи, подробно рассказывал о ходе ремонта",Вежливость,0.441,0.935,5.0,,
Довольны обращением в компанию,Вежливость,0.602,0.714,5.0,,
При этом парни показались мне довольно вежливыми и компетентными людьми,Вежливость,0.577,0.715,5.0,,
"В целом всем довольны, рекомендовали друзьям и знакомым",Вежливость,0.628,0.948,5.0,,
"Видно, что люди не просто делают, а хотят, чтобы клиент остался доволен",Вежливость,0.465,-0.751,5.0,,
Обращались к вам в начале года,Вежливость,0.496,-0.003,5.0,,
"Спасибо, рекомендуем",Вежливость,0.561,0.753,5.0,,
"Мы специально к ним ездили, чтобы посмотреть что и как",Вежливость,0.481,-0.04,5.0,,
Ребята вам респект и уважение,Вежливость,0.634,0.139,5.0,,
За что ему спасибо,Вежливость,0.51,0.603,5.0,,
Общались по телефону и по чату в мессенджере,Вежливость,0.557,-0.0,5.0,,
Будем теперь рекомендовать компанию всем знакомым,Вежливость,0.53,0.084,5.0,,
"Тут, все как и полагается",Гарантия и недочёты,0.553,-0.072,5.0,,
Гарантию на ремонт предоставили,Гарантия и недочёты,0.555,0.266,5.0,,
"Поскольку мы не выезжали на время ремонта - все, связанные с этим неудобства Михаил минимизировал по возможности",Гарантия и недочёты,0.5,-0.652,5.0,,
"Нам сразу всё показали, объяснили, выдали смету, рассказали, как можно сэкономить без потери качества",Гарантия и недочёты,0.478,0.044,5.0,,
на качество это не повлияло,Гарантия и недочёты,0.504,-0.166,5.0,,
"К смете у нас претензий не было, скорректировали некоторые материалы в процессе",Гарантия и недочёты,0.574,-0.044,5.0,,
"Теперь все работает как надо и без малейших ""сюрпризов""",Гарантия и недочёты,0.572,0.08,5.0,,
"Достоинства Быстро и качественно Недостатки Не нашла Комментарий Ремонт сделали около четырёх месяцев назад, а отзыв пишем только сейчас, когда всё проверили",Гарантия и недочёты,0.611,-0.217,5.0,,
"Отдавали сюда планшет на ремонт, сделали, работает до сих пор",Гарантия и недочёты,0.474,0.239,5.0,,
"Обратились в компанию Ютта, чтобы это исправить",Гарантия и недочёты,0.57,0.036,5.0,,
"Сделали ремонт так, как нам того хотелось",Гарантия и недочёты,0.495,-0.413,5.0,,
"Ребята пришли, все сделали хорошо",Гарантия и недочёты,0.546,0.942,5.0,,
"В случае если вы не хотите самостоятельно морочиться с 1000 и 1 нюансом при ремонте, то это удобнее делать через Атлон",Качество работ,0.491,0.061,5.0,,
Результатом довольна на все 100%,Качество работ,0.57,0.957,5.0,,
"Когда обнаружился брак у двери, сотрудники решили проблему быстро и без лишних вопросов",Качество работ,0.494,-0.165,5.0,,
Монтаж ПВХ окон и комплектующих мастера выполнили качественно и работали аккуратно,Качество работ,0.576,0.699,5.0,,
Все получилось красиво и стильно,Качество работ,0.447,0.995,5.0,,
"Помогли подобрать материалы, цветовые решения, даже мебель подсказали",Качество работ,0.479,-0.219,5.0,,
"Ведь квартира выглядит стильно, да и никаких недочетов я не обнаружил",Качество работ,0.459,0.063,5.0,,
В целом осталось положительное впечатление,Качество работ,0.627,0.639,5.0,,
В итоге остались довольны качеством и сервисом,Качество работ,0.589,0.951,5.0,,
"Цены адекватные, качество работ хорошее, прораб Денис ответственный и честный человек, понравилось с ним работать, буду рекомендовать Атлон знакомым",Качество работ,0.61,0.972,5.0,,
Рабочие прибыли точно в срок с необходимым инструментом и материалами,Качество работ,0.63,0.057,5.0,,
Компанию рекомендую,Качество работ,0.495,0.943,5.0,,
Колесики не отличишь,Коммуникация,0.612,-0.234,5.0,,
Поэтому стал интересоваться на работе и у друзей кому бы обратиться за помощью,Коммуникация,0.436,0.122,5.0,,
Познакомился с прорабом и рабочими,Коммуникация,0.638,-0.002,5.0,,
Первичные замеры и консультации были сделаны уже в течение дня после обращения,Коммуникация,0.44,-0.005,5.0,,
"Достоинства Работа велась организованно Комментарий После долгих раздумий мы выбрали эту компанию, отзывы читали, вызывали сметчика, плюс в чате ЖК о них хорошее говорили",Коммуникация,0.542,0.252,5.0,,
"Договор №КС/41267, квартира в ЖК «Огни», 62 м²",Коммуникация,0.485,-0.0,5.0,,
"Подкупили доброжелательные сотрудники, первый раз таких вижу",Коммуникация,0.567,-0.036,5.0,,
"Обращался в компанию для ремонта в моей новостройке на метро Черная Речка, в целом работой доволен",Коммуникация,0.485,0.985,5.0,,
"Бригадир всегда был на связи, отвечал на возникшие вопросы",Коммуникация,0.785,-0.044,5.0,,
"Еще хочу отметить менеджера Елену, которая контролировала все процессы",Коммуникация,0.493,-0.006,5.0,,
"Человек спокойный, всегда на связи в мессенджере, скидывал фотоотчеты",Коммуникация,0.554,-0.893,5.0,,
"Расположение сантехники было тщательно подогнано под нас, наш рост и наши бытовые привычки",Коммуникация,0.508,0.878,5.0,,
"К тому же мастера здесь очень толковые и грамотные, никаких лишних услуг не навязывали, консультировали грамотно и по делу",Профессионализм,0.549,-0.847,5.0,,
"Мне важны отзывы, характеристики",Профессионализм,0.578,-0.005,5.0,,
"Из плюсов: Первое впечатление осталось отличным благодаря замерщику Екатерине, которая провела детальный замер, детально рассказала про услуги компании, показала нам примеры работ по инженерии, малярке, за что ей отдельное спасибо",Профессионализм,0.622,0.993,5.0,,
Атлон ФМ точно советуем,Профессионализм,0.583,0.0,5.0,,
"Это вносит небольшую сумятицу, так как постоянное разные люди",Профессионализм,0.559,-0.116,5.0,,
